,Species,2007,2008,2009,2010,2011,2012,2013,2014
NNN,Smutsia gigantea,,,0.02004008,0.034068136,0.052104208,0.070140281,0.068136273,
CSN,Speothos venaticus,,0.006012024,0.006012024,0.006012024,0.02004008,0.006012024,0.006012024,0.006012024
YAN,Speothos venaticus,,,,,0.006012024,0.006012024,0.006012024,0.034068136
YAS,Speothos venaticus,,,,,0.02004008,0.02004008,0.006012024,0.034068136
PSH,Sundasciurus hippurus,,,,,0.04008016,0.01202405,0.006012024,0.006012024
BBS,Sus scrofa,,,0.716666667,0.65,0.533333333,0.5,0.5,
NAK,Sus scrofa,,,0.266666667,0.5,0.216666667,0.516666667,0.366666667,
PSH,Sus scrofa,,,,,0.75,0.93333333,0.9,0.95
BCI,Sylvilagus brasiliensis,,,,0.02004008,0.02004008,0.018036072,0.02004008,0.02004008
COU,Sylvilagus brasiliensis,,,,,0.02004008,0.070140281,0.006012024,0.018036072
YAS,Sylvilagus brasiliensis,,,,,0.02004008,0.052104208,0.006012024,0.006012024
NNN,Syncerus caffer,,,0.034068136,0.006012024,0.006012024,0.006012024,0.018036072,
UDZ,Syncerus caffer,,,0.052104208,0.052104208,0.0501002,0.052104208,0.068136273,0.02004008
BCI,Tapirus bairdii,,,,0.006012024,0.02004008,0.006012024,0.02004008,0.006012024
VB,Tapirus bairdii,0.533333333,0.633333333,0.616666667,0.583333333,0.55,0.516666667,0.45,0.3
BBS,Tapirus indicus,,,0.183333333,0.275,0.233333333,0.2,0.166666667,
PSH,Tapirus indicus,,,,,0.23333333,0.61666667,0.766666667,0.816666667
CAX,Tapirus terrestris,,,,0.383333333,,0.416666667,0.466666667,0.45
COU,Tapirus terrestris,,,,,0.333333333,0.583333333,0.533333333,0.633333333
CSN,Tapirus terrestris,,0.466666667,0.483333333,0.583333333,0.45,0.5,0.55,0.4
YAN,Tapirus terrestris,,,,,0.571428571,0.444444444,0.396825397,0.317460317
YAS,Tapirus terrestris,,,,,0.666666667,0.45,0.85,0.75
CAX,Tayassu pecari,,,,0.034068136,,0.034068136,0.082164329,0.066132265
COU,Tayassu pecari,,,,,0.433333333,0.066666667,0.033333333,0.008333333
CSN,Tayassu pecari,,0.2,0.266666667,0.35,0.366666667,0.416666667,0.483333333,0.5
YAS,Tayassu pecari,,,,,0.916666667,0.466666667,0.65,0.65
RNF,Tenrec ecaudatus,,,,0.183333333,0.166666667,0.183333333,0.183333333,
BIF,Thryonomys gregorianus,,,0.006012024,0.006012024,0.02004008,0.006012024,,
BIF,Thryonomys swinderianus,,,0.02004008,0.006012024,0.006012024,0.006012024,,
KRP,Thryonomys swinderianus,,,,,0.006012024,0.006012024,0.018036072,
NNN,Thryonomys swinderianus,,,0.006012024,0.006012024,0.006012024,0.02004008,0.006012024,
UDZ,Thryonomys swinderianus,,,0.006012024,0.006012024,0.018036072,0.034068136,0.018036072,0.02004008
NNN,Tragelaphus eurycerus,,,0.034068136,0.006012024,0.006012024,0.006012024,0.006012024,
BIF,Tragelaphus scriptus,,,0.006012024,0.006012024,0.006012024,0.034068136,,
UDZ,Tragelaphus scriptus,,,0.006012024,0.052104208,0.032064128,0.118236473,0.034068136,0.052104208
BIF,Tragelaphus spekii,,,0.02004008,0.006012024,0.006012024,0.018036072,,
NNN,Tragelaphus spekii,,,0.006012024,0.006012024,0.034068136,0.006012024,0.006012024,
BBS,Tragulus javanicus,,,0.516666667,0.05,0.2,0.183333333,0.1,
NAK,Tragulus javanicus,,,0.006012024,0.006012024,0.006012024,0.006012024,0.018036072,
BBS,Tragulus kanchil,,,0.006012024,0.006012024,0.006012024,0.008016032,0.182364729,
NAK,Tragulus kanchil,,,0.15,0.25,0.15,0.016666667,0.333333333,
PSH,Tragulus kanchil,,,,,0.15,0.33333333,0.366666667,0.183333333
BBS,Tragulus napu,,,0.183333333,0.333333333,0.366666667,0.266666667,0.183333333,
PSH,Tragulus napu,,,,,0.01202405,0.01202405,0.006012024,0.070140281
YAN,Tremarctos ornatus,,,,,0.02004008,0.006012024,0.006012024,0.006012024
BBS,Trichys fasciculata,,,0.006012024,0.006012024,0.006012024,0.024048096,0.006012024,
PSH,Tupaia glis,,,,,0.33333333,0.16666667,0.2,0.1
BBS,Tupaia tana,,,0.034068136,0.034068136,0.120240481,0.008016032,0.006012024,
NAK,Viverra zibetha,,,0.006012024,0.006012024,0.018036072,0.006012024,0.006012024,
PSH,Viverra zibetha,,,,,0.04008016,0.01202405,0.018036072,0.02004008
